FPS               Frame                Time   AcumelatedObjects        ObjectsFound       ObjectTracked                   X                   Y                  VX                  VY                  dX                  dY               Width              Height
11                 755             281.492                2913                  11                  32                 223                 331                   0                   0                   0                   0                 138                 142
11                 756             281.591                2927                  21                  32                 223                 331                   0                   0                   0                   0                 138                 142
11                 757             281.701                2930                  15                  32                 223                 331                   0                   0                   0                   0                 138                 143
11                 758              281.78                2935                  18                  32                 223                 331                   0                   0                   0                   0                 138                 143
11                 759             281.879                2936                  12                  32                 223                 331                   0                   0                   0                   0                 138                 143
11                 760             281.967                2940                  13                  32                 223                 331                   0                   0                   0                   0                 138                 143
11                 761             282.069                2948                  19                  32                 222                 331            -9.80392                   0                  -1                   0                 138                 143
10                 762             282.194                2955                  21                  32                 223                 331             8.84956                   0                   1                   0                 138                 142
10                 763             282.238                2959                  17                  32                 223                 331                   0                   0                   0                   0                 138                 143
10                 764             282.327                2971                  29                  32                 223                 331                   0                   0                   0                   0                 138                 143
10                 765             282.426                2975                  25                  32                 223                 331                   0                   0                   0                   0                 138                 143
10                 766             282.524                2980                  26                  32                 222                 331            -11.3636                   0                  -1                   0                 138                 143
10                 767             282.645                2982                  23                  32                 223                 331             8.26446                   0                   1                   0                 138                 143
10                 768              282.71                2995                  29                  32                 223                 331                   0                   0                   0                   0                 138                 143
10                 769              282.81                2996                  18                  32                 222                 331            -11.3636                   0                  -1                   0                 138                 142
10                 770             282.878                3010                  30                  32                 222                 331                   0                   0                   0                   0                 138                 143
10                 771             282.965                3014                  29                  32                 222                 331                   0                   0                   0                   0                 138                 143
10                 772             283.089                3022                  28                  32                 222                 330                   0            -9.00901                   0                  -1                 138                 143
12                 773             283.166                3022                  22                  32                 222                 330                   0                   0                   0                   0                 138                 145
12                 774             283.258                3026                  23                  32                 221                 331            -10.8696             10.8696                  -1                   1                 140                 148
12                 775             283.357                3027                  19                  32                 220                 331             -10.101                   0                  -1                   0                 144                 146
12                 776             283.454                3032                  20                  32                 220                 331                   0                   0                   0                   0                 144                 146
12                 777             283.565                3036                  21                  32                 220                 332                   0             8.26446                   0                   1                 145                 143
12                 778              283.62                3038                  22                  32                 220                 335                   0             69.7674                   0                   3                 152                 131
